,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year,Month,VWAP,Day_Per_Change,Trend
422,MINDTREE,EQ,2019-01-24,906.55,913.8,923.35,906.5,912.05,910.4,911.36,2027003,1847328745.65,42509,214216,10.57,2019,1,845.3955270239234,0.424687000165469,Slight or No change
423,MINDTREE,EQ,2019-01-25,910.4,916.05,925.0,880.8,887.95,886.1,903.83,2686280,2427941236.95,49029,317435,11.82,2019,1,845.580832111005,-2.669156414762741,Negative
424,MINDTREE,EQ,2019-01-28,886.1,872.0,884.25,856.05,868.15,868.6,870.47,2225129,1936909176.8,53270,322191,14.48,2019,1,845.6673098099471,-1.9749463943121492,Negative
425,MINDTREE,EQ,2019-01-29,868.6,870.0,911.0,866.0,907.35,903.6,890.49,1990949,1772915010.6,46222,283796,14.25,2019,1,845.8613920317516,4.0294727147133225,Among top gainers
426,MINDTREE,EQ,2019-01-30,903.6,909.2,919.0,885.1,890.0,890.45,902.76,1661063,1499535579.55,50115,309584,18.64,2019,1,845.9856716084223,-1.4552899513058826,Negative
427,MINDTREE,EQ,2019-01-31,890.45,900.0,902.0,880.0,893.9,894.05,892.33,1211981,1081482676.0,26225,146502,12.09,2019,1,846.083221347329,0.40428996574763953,Slight or No change
428,MINDTREE,EQ,2019-02-01,894.05,894.05,904.0,885.2,904.0,899.65,896.75,803302,720357312.3,17671,201145,25.04,2019,2,846.15518247829,0.6263631787931434,Slight positive
429,MINDTREE,EQ,2019-02-04,899.65,904.05,906.0,875.05,887.45,889.8,891.78,1004135,895464705.55,23313,121955,12.15,2019,2,846.2283502301474,-1.0948702273106181,Negative
430,MINDTREE,EQ,2019-02-05,889.8,887.0,899.9,880.0,889.0,887.9,890.9,636345,566918777.85,13986,64379,10.12,2019,2,846.2725751551909,-0.21353113059113804,Slight or No change
431,MINDTREE,EQ,2019-02-06,887.9,889.95,909.75,889.8,894.5,897.3,901.25,1574950,1419418900.95,39305,283203,17.98,2019,2,846.4062546999338,1.0586777790291713,Positive
